PLoS_One_ID	AGI	group	Publications
At_F0136	AT2G43260	3	3
At_F0137	AT3G17490	3	1
At_F0138	AT3G49450	3	4
At_F0139	AT4G33290	3	2
At_F0140	AT3G17560	3	1
At_F0141	AT4G02310	3	2
At_F0143	AT2G41360	3	3
At_F0145	AT3G08750	3	2
At_F0146	AT4G19865	3	1
At_F0147	AT4G19940	3	2
At_F0148	AT5G53840	3	4
At_F0149	AT1G32420	3	2
At_F0150	AT3G16555	3	1
At_F0151	AT3G24580	3	1
At_F0152	AT5G48990	3	2
At_F0153	AT1G22040	3	5
At_F0155	AT2G44630	3	3
At_F0156	AT3G20030	3	1
At_F0157	AT4G17565	3	2
At_F0159	AT1G53790	3	1
At_F0160	AT1G70380	3	1
At_F0161	AT2G02240	3	2
At_F0162	AT4G39600	3	1
At_F0163	AT5G39560	3	1
At_F0165	AT5G62660	3	3
At_F0167	AT1G70390	3	1
At_F0170	AT4G11750	3	3
At_F0172	AT1G11270	3	3
At_F0173	AT1G46840	3	1
At_F0174	AT3G21130	3	1
At_F0175	AT1G12870	3	1
At_F0177	AT5G51000	3	1
At_F0179	AT5G56810	3	1
At_F0180	AT4G33900	3	2
At_F0181	AT5G15620	3	1
At_F0182	AT5G26960	3	2
At_F0183	AT5G49000	3	4
At_F0186	AT3G52320	3	1
At_F0187	AT3G58900	3	3
At_F0188	AT4G09190	3	1
At_F0189	AT5G03000	3	2
At_F0190	AT5G15710	3	2
At_F0192	AT4G38870	3	2
At_F0193	AT5G28180	3	1
At_F0194	AT3G06240	3	3
At_F0195	AT3G13680	3	2
At_F0196	AT3G25460	3	1
At_F0198	AT1G58090	3	2
At_F0199	AT2G05970	3	1
At_F0201	AT3G59610	3	4
At_F0202	AT5G39450	3	2
At_F0203	AT2G20380	3	2
At_F0205	AT3G06570	3	4
At_F0206	AT3G16590	3	2
At_F0207	AT4G33160	3	4
At_F0208	AT5G02920	3	3
At_F0209	AT1G09650	3	4
At_F0213	AT2G29830	3	2
At_F0215	AT5G25860	3	1
At_F0216	AT5G18160	3	2
At_F0217	AT2G02310	3	7
At_F0218	AT4G14103	3	1
At_F0219	AT2G16450	3	2
At_F0222	AT1G32660	3	1
At_F0223	AT3G58980	3	1
At_F0224	AT2G42720	3	2
At_F0227	AT4G39580	3	1
At_F0228	AT2G26850	3	5
At_F0230	AT3G24760	3	2
At_F0231	AT3G50710	3	1
At_F0232	AT4G25710	3	3
At_F0233	AT3G18340	3	2
At_F0235	AT1G55070	3	2
At_F0236	AT1G78750	3	1
At_F0237	AT1G60400	3	2
At_F0238	AT1G78760	3	1
At_F0239	AT1G67390	3	3
At_F0240	AT3G58820	3	1
At_F0241	AT3G08810	3	3
At_F0242	AT2G16810	3	3
At_F0244	AT3G19560	3	1
At_F0248	AT5G25290	3	2
At_F0249	AT1G59680	3	1
At_F0250	AT5G15660	3	1
At_F0251	AT2G16220	3	1
At_F0253	AT3G47030	3	3
At_F0254	AT5G07610	3	2
At_F0255	AT5G22660	3	1
At_F0257	AT4G26340	3	1
At_F0258	AT1G19160	3	1
At_F0260	AT1G19070	3	2
At_F0261	AT1G30790	3	1
At_F0263	AT3G17570	3	1
At_F0264	AT3G52030	3	7
At_F0265	AT3G58920	3	1
At_F0266	AT4G22660	3	2
At_F0268	AT1G31080	3	2
At_F0270	AT2G26860	3	2
At_F0271	AT5G42430	3	1
At_F0273	AT3G57590	3	3
At_F0274	AT4G39760	3	3
At_F0278	AT3G59150	3	3
At_F0279	AT3G59210	3	1
At_F0280	AT4G04690	3	4
At_F0282	AT4G26350	3	1
At_F0283	AT1G23780	3	6
At_F0284	AT1G48400	3	1
At_F0285	AT1G50870	3	1
At_F0286	AT2G41170	3	2
At_F0287	AT4G13960	3	2
At_F0288	AT4G34170	3	1
At_F0289	AT1G12170	3	2
At_F0292	AT4G19930	3	3
At_F0294	AT1G66310	3	3
At_F0295	AT2G23160	3	2
At_F0299	AT3G59160	3	1
At_F0301	AT5G65850	3	2
At_F0303	AT5G44940	3	1
At_F0305	AT1G66290	3	3
At_F0306	AT3G56470	3	2
At_F0307	AT1G33010	3	1
At_F0309	AT2G29820	3	2
At_F0310	AT5G22730	3	1
At_F0311	AT3G59200	3	1
At_F0314	AT3G61340	3	4
At_F0315	AT4G39753	3	2
At_F0316	AT1G51370	3	1
At_F0317	AT3G44060	3	2
At_F0319	AT5G02930	3	1
At_F0320	AT3G59000	3	2
At_F0321	AT2G33200	3	2
At_F0322	AT5G40050	3	2
At_F0324	AT3G17530	3	1
At_F0325	AT1G30780	3	1
At_F0326	AT1G49360	3	2
At_F0327	AT3G44810	3	2
At_F0328	AT4G14096	3	1
At_F0329	AT3G10240	3	1
At_F0330	AT3G17620	3	1
At_F0334	AT5G03100	3	1
At_F0336	AT5G60610	3	1
At_F0340	AT3G60710	3	2
At_F0341	AT2G43270	3	2
At_F0342	AT1G05080	3	2
At_F0343	AT1G58310	3	1
At_F0346	AT3G51530	3	3
At_F0347	AT1G47340	3	4
At_F0348	AT4G05470	3	3
At_F0349	AT5G14160	3	1
At_F0350	AT3G03040	3	3
At_F0351	AT2G11200	3	1
At_F0352	AT3G59250	3	1
At_F0353	AT1G30930	3	1
At_F0355	AT4G17200	3	1
At_F0356	AT5G52460	3	1
At_F0357	AT1G51550	3	3
At_F0360	AT2G02230	3	7
At_F0361	AT2G43440	3	2
At_F0362	AT3G54480	3	4
At_F0364	AT1G13570	3	3
At_F0365	AT2G32560	3	4
At_F0366	AT3G59170	3	1
At_F0368	AT1G48060	3	1
At_F0369	AT1G56400	3	1
At_F0370	AT5G44980	3	2
At_F0371	AT1G47810	3	1
At_F0372	AT1G52650	3	1
At_F0373	AT2G15640	3	1
At_F0375	AT1G32430	3	1
At_F0377	AT5G27750	3	4
At_F0378	AT5G54820	3	1
At_F0379	AT3G19880	3	1
At_F0385	AT1G20790	3	2
At_F0387	AT5G41490	3	1
At_F0388	AT2G26030	3	2
At_F0389	AT3G60790	3	1
At_F0390	AT5G38680	3	2
At_F0391	AT4G27050	3	3
At_F0392	AT1G53370	3	1
At_F0395	AT2G42730	3	1
At_F0402	AT2G24540	3	5
At_F0403	AT1G78730	3	2
At_F0404	AT2G44030	3	3
At_F0405	AT3G13830	3	2
At_F0406	AT3G03030	3	1
At_F0407	AT3G58940	3	1
At_F0408	AT2G14290	3	1
At_F0409	AT3G12350	3	2
At_F0410	AT4G17780	3	3
At_F0411	AT1G23770	3	2
At_F0412	AT1G31000	3	1
At_F0413	AT3G59230	3	1
At_F0414	AT2G39490	3	1
At_F0415	AT1G47800	3	1
At_F0417	AT3G59190	3	2
At_F0420	AT5G66830	3	3
At_F0422	AT5G56380	3	2
At_F0423	AT3G23950	3	1
At_F0424	AT3G23960	3	1
At_F0425	AT2G16290	3	1
At_F0426	AT1G13780	3	2
At_F0427	AT2G29910	3	2
At_F0428	AT4G11590	3	3
At_F0429	AT2G17020	3	4
At_F0432	AT3G58960	3	1
At_F0434	AT2G40910	3	1
At_F0435	AT5G18780	3	3
At_F0436	AT1G70970	3	1
At_F0437	AT3G61350	3	4
At_F0438	AT1G06630	3	3
At_F0439	AT1G64540	3	1
At_F0440	AT4G10400	3	1
At_F0446	AT1G57790	3	3
At_F0449	AT3G04660	3	1
At_F0450	AT1G32020	3	1
At_F0452	AT4G35120	3	1
At_F0453	AT5G24560	3	3
At_F0454	AT3G26010	3	1
At_F0456	AT1G11810	3	2
At_F0458	AT1G80470	3	1
At_F0460	AT3G54460	3	6
At_F0461	AT4G23960	3	2
At_F0463	AT4G21240	3	2
At_F0464	AT4G22180	3	3
At_F0465	AT1G78840	3	2
At_F0466	AT1G30090	3	4
At_F0468	AT3G61060	3	22
At_F0469	AT1G70590	3	5
At_F0470	AT2G03610	3	1
At_F0472	AT1G20940	3	3
At_F0473	AT2G29860	3	1
At_F0475	AT2G24250	3	2
At_F0476	AT2G16300	3	1
At_F0477	AT2G21950	3	6
At_F0478	AT4G22060	3	2
At_F0479	AT5G38565	3	1
At_F0481	AT2G33190	3	3
At_F0482	AT1G67480	3	4
At_F0483	AT4G00160	3	1
At_F0484	AT1G55030	3	1
At_F0485	AT1G76900	3	11
At_F0486	AT5G18770	3	1
At_F0489	AT5G02700	3	2
At_F0491	AT3G28410	3	2
At_F0492	AT1G27420	3	1
At_F0494	AT2G29930	3	2
At_F0495	AT4G18380	3	1
At_F0496	AT1G64840	3	2
At_F0498	AT3G60040	3	2
At_F0501	AT1G12190	3	1
At_F0502	AT2G40920	3	1
At_F0503	AT1G60410	3	2
At_F0506	AT3G58930	3	2
At_F0507	AT5G38590	3	2
At_F0509	AT1G74510	3	1
At_F0510	AT1G55000	3	3
At_F0513	AT1G32140	3	1
At_F0514	AT1G12710	3	5
At_F0517	AT3G03730	3	2
At_F0518	AT1G26510	3	1
At_F0520	AT1G16250	3	1
At_F0521	AT4G35733	3	1
At_F0522	AT3G62230	3	6
At_F0523	AT4G05010	3	2
At_F0524	AT4G02733	3	1
At_F0526	AT4G22280	3	2
At_F0530	AT5G25300	3	1
At_F0531	AT1G63090	3	13
At_F0532	AT1G67160	3	3
At_F0533	AT1G67623	3	1
At_F0534	AT5G63520	3	2
At_F0535	AT3G18720	3	1
At_F0539	AT4G22165	3	2
At_F0540	AT1G20360	3	1
At_F0541	AT5G39250	3	3
At_F0543	AT3G22940	3	1
At_F0544	AT3G53000	3	5
At_F0547	AT3G62430	3	1
At_F0548	AT1G25280	3	8
At_F0551	AT1G69090	3	3
At_F0553	AT4G03030	3	2
At_F0554	AT3G19890	3	3
At_F0555	AT5G67140	3	3
At_F0556	AT1G55590	3	4
At_F0557	AT3G63220	3	2
At_F0558	AT4G10925	3	2
At_F0559	AT4G21510	3	2
At_F0560	AT2G03560	3	4
At_F0561	AT3G25750	3	1
At_F0566	AT5G48550	3	2
At_F0567	AT5G50270	3	1
At_F0571	AT5G10340	3	1
At_F0572	AT5G41840	3	1
At_F0573	AT3G10790	3	1
At_F0574	AT5G60060	3	3
At_F0575	AT5G60570	3	2
At_F0577	AT3G03726	3	1
At_F0581	AT4G02740	3	3
At_F0584	AT1G78280	3	4
At_F0588	AT4G29420	3	1
At_F0590	AT5G03970	3	4
At_F0591	AT5G46170	3	4
At_F0592	AT2G14500	3	1
At_F0593	AT1G24800	3	1
At_F0594	AT1G24881	3	1
At_F0595	AT1G25055	3	1
At_F0596	AT1G25211	3	1
At_F0598	AT2G21680	3	1
At_F0599	AT2G29810	3	1
At_F0600	AT5G38270	3	1
At_F0602	AT1G67190	3	1
At_F0604	AT5G07670	3	1
At_F0609	AT4G00755	3	2
At_F0611	AT4G02760	3	1
At_F0612	AT5G04010	3	3
At_F0613	AT1G80570	3	3
At_F0615	AT1G10780	3	3
At_F0616	AT1G30200	3	1
At_F0617	AT3G23970	3	1
At_F0619	AT4G30640	3	2
At_F0620	AT5G18680	3	4
At_F0621	AT2G02660	3	2
At_F0622	AT2G29770	3	1
At_F0623	AT2G17030	3	4
At_F0625	AT1G65760	3	2
At_F0627	AT5G52120	3	5
At_F0629	AT1G47270	3	12
At_F0630	AT2G26160	3	1
At_F0631	AT3G19470	3	1
At_F0632	AT2G17036	3	2
At_F0634	AT1G31350	3	8
At_F0635	AT5G56390	3	1
At_F0638	AT5G24040	3	1
At_F0640	AT1G43640	3	7
At_F0643	AT5G39460	3	1
At_F0644	AT1G44080	3	1
At_F0647	AT3G07550	3	3
At_F0648	AT2G02300	3	3
At_F0649	AT5G06550	3	4
At_F0650	AT1G26930	3	6
At_F0651	AT1G56240	3	2
At_F0653	AT1G53320	3	11
At_F0654	AT1G20800	3	1
At_F0655	AT1G27490	3	1
At_F0658	AT4G39750	3	1
At_F0659	AT2G29780	3	2
At_F0663	AT1G20795	3	1
At_F0664	AT1G06110	3	4
At_F0666	AT5G51380	3	1
At_F0667	AT2G36090	3	2
At_F0668	AT5G55150	3	1
At_F0670	AT1G61940	3	6
At_F0672	AT2G04810	3	1
At_F0678	AT2G02870	3	6
At_F0680	AT4G22390	3	3
At_F0681	AT2G27310	3	2
At_F0683	AT3G22345	3	1
At_F0685	AT3G52330	3	1
At_F0686	AT3G27290	3	2
At_F0687	AT1G67340	3	7
At_F0688	AT4G12820	3	2
At_F0694	AT1G53360	3	1
At_F0696	AT3G26930	3	1
At_F0699	AT1G09155	3	3
At_F0706	AT1G61320	3	1
At_F0709	AT4G35930	3	2
At_F0710	AT2G01620	3	3
At_F0015	AT2G41473	4	0
At_F0021	AT3G16820	4	0
At_F0025	AT1G46984	4	0
At_F0036	AT3G22710	4	0
At_F0038	AT2G34280	4	0
At_F0042	AT1G15015	4	0
At_F0046	AT5G36730	4	0
At_F0055	AT3G17500	4	0
At_F0067	AT2G33705	4	0
At_F0077	AT5G22610	4	0
At_F0078	AT3G47150	4	0
At_F0085	AT2G02030	4	0
At_F0089	AT1G62270	4	0
At_F0090	AT3G17480	4	0
At_F0098	AT1G67450	4	0
At_F0101	AT1G33530	4	0
At_F0107	AT4G39756	4	0
At_F0117	AT4G29970	4	0
At_F0119	AT3G26922	4	0
At_F0129	AT3G18330	4	0
At_F0130	AT1G11620	4	0
At_F0142	AT5G38390	4	0
At_F0144	AT3G58950	4	0
At_F0154	AT1G70960	4	0
At_F0166	AT1G67130	4	0
At_F0169	AT4G05497	4	0
At_F0171	AT5G62060	4	0
At_F0176	AT4G13985	4	0
At_F0178	AT3G44120	4	0
At_F0184	AT5G50220	4	0
At_F0185	AT1G19930	4	0
At_F0197	AT1G16940	4	0
At_F0200	AT2G33655	4	0
